20
Arad 366
Bucharest 0
Craiova 160
Dobreta 242
Eforie 161
Fagaras 176
Giurgiu 77
Hirosova 151
Iasi 226
Lugoj 244
Mehadia 241
Neamt 234
Oradea 380
Pitesti 100
Rimnicu 193
Sibiu 253
Timisoara 329
Urziceni 80
Vaslui 199
Zerind 374
0 15 140
0 16 118
0 19 75
1 5 211
1 6 90
1 13 101
1 17 85
2 3 120
2 13 138
2 14 146
3 2 120
3 10 75
4 7 86
5 1 211
5 15 99
6 1 90
7 4 86
7 17 98
8 11 87
8 18 92
9 10 70
9 16 111
10 3 75
10 9 70
11 8 87
12 15 151
12 19 71
13 1 101
13 2 138
13 14 97
14 2 146
14 13 97
14 15 80
15 0 140
15 5 99
15 12 151
15 14 80
16 0 118
16 9 111
17 1 85
17 7 98
17 18 142
18 8 92
18 17 142
19 0 75
19 12 71
